code,source_volume,source_histories,w2_raw_events,conditional_efficiency,active_veto_events,active_veto_fraction,median_source_to_tes_cm,p10_source_to_tes_cm,p90_source_to_tes_cm,single_tes_pixel_fraction,multi_tes_pixel_fraction,shield_touched_fraction,side_shield_touched_fraction,top_tes_channels,top_carriers
megalib,Cu_SubstrateSupport_OpenRing_L2_YM_panel,283,13,0.045936395759717315,4,0.3076923076923077,2.203054670408899,0.7293640795773834,3.032774059477285,0.6153846153846154,0.38461538461538464,0.6923076923076923,0.46153846153846156,TP_L1_00005:2; TP_L1_00000:2; TP_L1_00030:1,MEGAlib:e-|gamma|phot|eIoni:39; MEGAlib:gamma|gamma|phot|phot:16; MEGAlib:gamma|e+|annihil|phot:13
megalib,Cu_SubstrateSupport_OpenRing_L2_YP_panel,137,5,0.0364963503649635,3,0.6,1.4739607275337392,1.1087359058705832,3.5084623117296845,0.4,0.6,0.4,0.4,TP_L2_00364:1; TP_L2_00350:1; TP_L2_00345:1,MEGAlib:e-|gamma|phot|eIoni:17; MEGAlib:gamma|e+|annihil|phot:5; MEGAlib:gamma|gamma|phot|phot:5
megalib,Cu_SubstrateSupport_OpenRing_L2_ZP_panel,298,14,0.04697986577181208,13,0.9285714285714286,1.35054398055912,0.6018301527519162,2.366804749241875,0.6428571428571429,0.35714285714285715,0.07142857142857142,0.07142857142857142,TP_L1_00176:2; TP_L0_00194:1; TP_L0_00318:1,MEGAlib:e-|gamma|phot|eIoni:48; MEGAlib:e-|gamma|phot|msc:29; MEGAlib:gamma|gamma|phot|phot:20
megalib,Cu_SubstrateSupport_OpenRing_L3_YM_panel,153,5,0.032679738562091505,2,0.4,1.824232141797289,1.3432601302665588,4.035037345348014,0.6,0.4,0.6,0.4,TP_L3_00014:1; TP_L2_00150:1; TP_L2_00134:1,MEGAlib:e-|gamma|phot|msc:86; MEGAlib:e-|gamma|phot|eIoni:18; MEGAlib:gamma|gamma|phot|phot:10
megalib,Cu_SubstrateSupport_OpenRing_L3_ZM_panel,139,6,0.04316546762589928,5,0.8333333333333334,2.3415021113774834,1.1526104200255283,3.8006188649672996,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,TP_L5_00235:1; TP_L2_00135:1; TP_L3_00058:1,MEGAlib:e-|gamma|phot|eIoni:21; MEGAlib:e-|gamma|phot|msc:10; MEGAlib:gamma|gamma|phot|phot:8
megalib,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,407,17,0.04176904176904177,11,0.6470588235294118,2.319980716170204,1.1060976701851943,3.327246368937054,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.29411764705882354,TP_L3_00259:2; TP_L2_00068:1; TP_L3_00052:1,MEGAlib:e-|gamma|phot|msc:107; MEGAlib:e-|gamma|phot|eIoni:43; MEGAlib:e-|gamma|compt|msc:42
megalib,Cu_SubstrateSupport_OpenRing_L4_YP_panel,304,14,0.046052631578947366,6,0.42857142857142855,2.066405974952586,0.8733337437165505,3.827758478268527,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.5714285714285714,TP_L2_00361:1; TP_L4_00161:1; TP_L2_00070:1,MEGAlib:e-|gamma|phot|eIoni:47; MEGAlib:gamma|gamma|phot|phot:18; MEGAlib:gamma|e+|annihil|phot:14
megalib,Cu_SubstrateSupport_OpenRing_L4_ZM_panel,277,16,0.05776173285198556,6,0.375,2.907125335139092,1.620802225576955,4.597344982965369,0.1875,0.8125,0.625,0.375,TP_L2_00308:1; TP_L2_00309:1; TP_L1_00216:1,MEGAlib:e-|gamma|phot|msc:59; MEGAlib:e-|gamma|phot|eIoni:49; MEGAlib:e-|gamma|compt|eIoni:23
megalib,Cu_SubstrateSupport_OpenRing_L4_ZP_panel,139,5,0.03597122302158273,3,0.6,1.1958463237808703,1.0045123080477936,2.2457921962356493,0.6,0.4,0.4,0.4,TP_L4_00112:1; TP_L3_00154:1; TP_L3_00070:1,MEGAlib:e-|gamma|phot|eIoni:15; MEGAlib:e-|gamma|phot|msc:15; MEGAlib:gamma|gamma|phot|phot:6
megalib,Cu_SubstrateSupport_OpenRing_L5_YP_panel,432,23,0.05324074074074074,12,0.5217391304347826,1.3736848201891854,0.8520100289407051,4.2859558469570365,0.6521739130434783,0.34782608695652173,0.4782608695652174,0.43478260869565216,TP_L5_00340:2; TP_L4_00343:2; TP_L1_00095:1,MEGAlib:e-|gamma|phot|msc:221; MEGAlib:e-|gamma|phot|eIoni:62; MEGAlib:e-|gamma|compt|msc:46
