nuclide,event_id,interaction_id,parent_track_id,interaction_type,time_s,x_cm,y_cm,z_cm,particle_in_code,particle_out_code,dir_x,dir_y,dir_z,kinetic_energy_keV
I-128,79,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.39238,-0.07848,-0.91645,1699.282
I-128,79,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.00811,-0.09895,0.99506,0.013
I-128,80,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.05346,-0.67962,0.73161,1618.277
I-128,80,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.76888,0.55832,-0.31162,503.279
I-128,80,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.15511,0.63054,-0.7605,0.013
I-128,81,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.48846,0.86891,-0.08002,1313.442
I-128,81,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.61667,-0.47279,-0.62943,808.12
I-128,81,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.26276,-0.83852,0.47733,0.008
I-128,82,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.20495,0.97825,0.03208,1552.895
I-128,82,3,1,4,0.0,0.0,0.0,0.0,53128,13,-0.56844,0.80155,0.18545,568.648
I-128,82,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.29014,-0.95463,-0.06713,0.027
I-128,83,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.73778,-0.63996,0.21478,1212.316
I-128,83,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.37592,0.17007,-0.91091,909.24
I-128,83,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.83724,0.4835,0.25544,0.014
I-128,84,2,1,4,0.0,0.0,0.0,0.0,53128,3,0.84737,0.4215,0.32296,1001.107
I-128,84,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.9684,-0.16223,0.18943,1120.439
I-128,84,4,1,4,0.0,0.0,0.0,0.0,53128,54128,-0.9452,-0.1725,-0.2772,0.025
I-128,85,2,1,4,0.0,0.0,0.0,0.0,53128,3,-0.90251,0.15689,-0.40108,570.088
I-128,85,3,1,4,0.0,0.0,0.0,0.0,53128,13,0.25748,0.18089,0.9492,1551.476
I-128,85,4,1,4,0.0,0.0,0.0,0.0,53128,54128,0.36551,-0.34151,-0.86589,0.007
