nuclide,event_id,interaction_id,parent_track_id,interaction_type,time_s,x_cm,y_cm,z_cm,particle_in_code,particle_out_code,dir_x,dir_y,dir_z,kinetic_energy_keV
Cu-64,36,3,1,4,0.0,0.0,0.0,0.0,29064,12,0.26363,-0.72516,-0.63611,498.167
Cu-64,36,4,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.79621,-0.06759,0.60123,0.001
Cu-64,37,2,1,4,0.0,0.0,0.0,0.0,29064,3,0.53894,0.55489,-0.63375,295.843
Cu-64,37,3,1,4,0.0,0.0,0.0,0.0,29064,13,-0.27217,-0.60429,0.74884,283.852
Cu-64,37,4,1,4,0.0,0.0,0.0,0.0,29064,30064,-0.71531,-0.48268,0.50532,0.001
Cu-64,38,2,1,4,0.0,0.0,0.0,0.0,29064,12,-0.03766,0.99917,-0.01575,1666.059
Cu-64,38,3,1,4,0.0,0.0,0.0,0.0,29064,28064,0.03766,-0.99917,0.01575,0.023
Cu-64,38,4,1,4,0.0,0.0,0.0,0.0,29064,3,-0.6627,-0.71138,-0.23402,6.552
Cu-64,38,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.55691,0.82234,-0.11664,0.726
Cu-64,38,6,1,4,0.0,0.0,0.0,0.0,29064,3,0.07275,0.97009,-0.23159,1.025
Cu-64,39,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.85714,0.39629,0.32902,286.791
Cu-64,39,3,1,4,0.0,0.0,0.0,0.0,29064,12,-0.11786,-0.99186,-0.04814,365.594
Cu-64,39,4,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.91005,0.22622,-0.34733,0.002
Cu-64,40,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.43933,-0.62233,0.64784,237.337
Cu-64,40,3,1,4,0.0,0.0,0.0,0.0,29064,12,-0.62027,0.01795,-0.78418,415.049
Cu-64,40,4,1,4,0.0,0.0,0.0,0.0,29064,28064,0.0516,0.99497,-0.08583,0.001
Cu-64,41,2,1,4,0.0,0.0,0.0,0.0,29064,2,-0.87226,-0.23944,-0.42643,258.677
Cu-64,41,3,1,4,0.0,0.0,0.0,0.0,29064,12,0.91087,-0.38271,0.15441,393.709
Cu-64,41,4,1,4,0.0,0.0,0.0,0.0,29064,28064,0.38624,0.77689,0.49724,0.001
Cu-64,42,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.58119,0.45312,0.67595,1673.476
Cu-64,42,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.58119,-0.45312,-0.67595,0.024
Cu-64,42,4,1,4,0.0,0.0,0.0,0.0,29064,3,-0.71921,-0.59038,-0.36633,0.79
Cu-64,42,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.8853,-0.28883,-0.36444,0.096
Cu-64,43,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.76236,0.53726,-0.36078,1666.059
Cu-64,43,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.76236,-0.53726,0.36078,0.023
Cu-64,43,4,1,4,0.0,0.0,0.0,0.0,29064,1,-0.12842,-0.19925,-0.9715,8.222
Cu-64,43,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.15375,-0.30021,-0.9414,0.08
Cu-64,44,2,1,4,0.0,0.0,0.0,0.0,29064,3,0.59275,-0.0026,-0.80538,345.511
Cu-64,44,3,1,4,0.0,0.0,0.0,0.0,29064,13,0.54519,0.63817,-0.5436,234.179
Cu-64,44,4,1,4,0.0,0.0,0.0,0.0,29064,30064,-0.60912,-0.16808,0.77507,0.006
Cu-64,45,2,1,4,0.0,0.0,0.0,0.0,29064,12,-0.77329,-0.63334,0.03013,1666.059
Cu-64,45,3,1,4,0.0,0.0,0.0,0.0,29064,28064,0.77329,0.63334,-0.03013,0.023
Cu-64,45,4,1,4,0.0,0.0,0.0,0.0,29064,3,0.08894,0.87318,-0.47921,6.552
Cu-64,45,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.65551,0.46231,0.59714,0.686
Cu-64,45,6,1,4,0.0,0.0,0.0,0.0,29064,3,0.65633,0.74363,-0.12745,1.067
Cu-64,46,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.81951,0.43509,-0.37297,1666.059
Cu-64,46,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.81951,-0.43509,0.37297,0.023
Cu-64,46,4,1,4,0.0,0.0,0.0,0.0,29064,3,0.64979,-0.24454,-0.71971,6.567
Cu-64,46,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.2235,-0.38458,0.89562,0.838
Cu-64,46,6,1,4,0.0,0.0,0.0,0.0,29064,3,0.28081,-0.95063,0.13213,0.897
Cu-64,47,2,1,4,0.0,0.0,0.0,0.0,29064,12,-0.01521,-0.07248,0.99725,1666.059
Cu-64,47,3,1,4,0.0,0.0,0.0,0.0,29064,28064,0.01521,0.07248,-0.99725,0.023
Cu-64,47,4,1,4,0.0,0.0,0.0,0.0,29064,3,-0.93694,-0.34154,-0.07411,6.569
Cu-64,47,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.69318,0.71733,-0.07031,0.67
Cu-64,47,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.90929,-0.41329,-0.04875,1.064
Cu-64,48,2,1,4,0.0,0.0,0.0,0.0,29064,2,-0.05783,-0.58196,0.81116,214.04
Cu-64,48,3,1,4,0.0,0.0,0.0,0.0,29064,12,-0.17401,-0.33884,-0.92461,438.345
Cu-64,48,4,1,4,0.0,0.0,0.0,0.0,29064,28064,0.23028,0.97278,-0.0259,0.002
Cu-64,49,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.62854,-0.03299,-0.77707,329.458
Cu-64,49,3,1,4,0.0,0.0,0.0,0.0,29064,12,0.51316,0.69713,0.50068,322.925
Cu-64,49,4,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.81857,-0.28414,0.49921,0.004
Cu-64,50,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.52973,0.82576,-0.19365,1666.059
Cu-64,50,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.52973,-0.82576,0.19365,0.023
Cu-64,50,4,1,4,0.0,0.0,0.0,0.0,29064,1,-0.23636,-0.48378,0.84267,7.436
Cu-64,50,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.31417,-0.92609,-0.20895,0.671
Cu-64,50,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.17349,-0.77317,0.61001,0.197
Cu-64,51,2,1,4,0.0,0.0,0.0,0.0,29064,12,-0.76669,-0.64198,-0.00678,1673.355
Cu-64,51,3,1,4,0.0,0.0,0.0,0.0,29064,28064,0.76669,0.64198,0.00678,0.024
Cu-64,51,4,1,4,0.0,0.0,0.0,0.0,29064,3,-0.04472,0.74665,-0.66371,0.873
Cu-64,51,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.3137,0.2755,-0.90868,0.134
Cu-64,52,2,1,4,0.0,0.0,0.0,0.0,29064,3,0.63447,-0.28816,-0.71722,80.186
Cu-64,52,3,1,4,0.0,0.0,0.0,0.0,29064,13,0.60874,0.69025,0.39114,499.508
Cu-64,52,4,1,4,0.0,0.0,0.0,0.0,29064,30064,-0.88461,-0.46523,0.03204,0.003
Cu-64,53,2,1,4,0.0,0.0,0.0,0.0,29064,2,-0.67688,0.36257,-0.64061,178.454
Cu-64,53,3,1,4,0.0,0.0,0.0,0.0,29064,12,0.922,-0.33239,-0.19859,473.932
Cu-64,53,4,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.30175,-0.0251,0.95306,0.001
Cu-64,54,2,1,4,0.0,0.0,0.0,0.0,29064,3,-0.98659,-0.13948,-0.08471,419.315
