primary_id,source_event_id,pair_id,pair_member,family,particle,fluka_particle_code,megalib_particle_code,kinetic_energy_keV,x_cm,y_cm,z_cm,dir_x,dir_y,dir_z,pol_x,pol_y,pol_z,weight,concurrent_with_previous,seed,source_note
1348,1348,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.5678118396099807,-0.058387029049556255,-0.8210850562746199,0.10228876942518098,-0.9947547474877826,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1349,1349,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.10294522381955824,-0.3400924903887812,-0.9347402734845107,0.0,0.9397330501801996,-0.3419090440439073,1.0,0,24066501,High-energy mono-gamma transport sentinel
1350,1350,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.6790072358413113,0.7326881030420416,-0.04601431663946154,-0.7334650035798357,0.6797272162593104,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1351,1351,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.17907922323749773,-0.24800973562336964,-0.9520618692294534,0.0,0.9677051552373828,-0.25208477250122224,1.0,0,24066501,High-energy mono-gamma transport sentinel
1352,1352,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.879134789790608,-0.28188521374099257,0.38426910837851463,0.30532794906867694,-0.9522472596534555,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1353,1353,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.7681797787228015,0.6281014615173901,0.12404991576420545,-0.6329906949705261,0.7741594022426715,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1354,1354,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.5351411792813829,-0.3310307149832228,-0.7772017652933034,0.5260706240520208,0.8504408847824271,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1355,1355,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.7972397091571938,0.462093794765325,0.38843039399915014,-0.5014702042583644,-0.8651749154021251,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1356,1356,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.4128219715844117,-0.607873883156318,0.678282656385683,0.827263178537183,0.5618145899107255,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1357,1357,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.025449547614308864,-0.8622700662668088,-0.5058089099120935,0.9995647288402996,-0.02950174331151327,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1358,1358,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.31737460353017416,-0.9435986260879142,0.09431327520060706,0.9478234841400754,0.3187956130698288,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1359,1359,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.5676474320172982,-0.3402883854863659,-0.7496533916599386,0.5141623345089641,0.8576928901257678,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
