event_id,detector,x_cm,y_cm,z_cm,deposit_keV,time_s
15839,3,0.0,0.0,2.99616,511.0,0.0
15879,3,0.0,0.0,2.96612,140.67995,0.0
15896,3,0.0,0.0,3.02651,511.0,0.0
15960,3,0.0,0.0,2.98363,511.0,0.0
16016,3,0.0,0.0,2.9853,187.44704,0.0
16048,3,0.0,0.0,3.04786,108.75715,0.0
16133,3,0.0,0.0,3.04217,228.37039,0.0
16167,3,0.0,0.0,3.01803,511.0,0.0
16198,3,0.0,0.0,3.04327,511.0,0.0
16219,3,0.0,0.0,2.9651,141.66795,0.0
16221,3,0.0,0.0,2.9795,283.59481,0.0
16330,3,0.0,0.0,2.96956,167.54038,0.0
16338,3,0.0,0.0,2.97791,128.595,0.0
16439,3,0.0,0.0,3.03155,511.0,0.0
16501,3,0.0,0.0,2.96168,145.59309,0.0
16563,3,0.0,0.0,2.96767,428.94719,0.0
16691,3,0.0,0.0,2.98582,231.80063,0.0
16840,3,0.0,0.0,3.01383,184.21566,0.0
16857,3,0.0,0.0,2.98031,511.0,0.0
16862,3,0.0,0.0,2.99612,511.0,0.0
16866,3,0.0,0.0,3.00541,265.89516,0.0
16893,3,0.0,0.0,2.9967,324.17468,0.0
16935,3,0.0,0.0,2.98209,3.97475,0.0
16993,3,0.0,0.0,2.95817,186.34872,0.0
16996,3,0.0,0.0,2.99902,246.83254,0.0
17036,3,0.0,0.0,3.04042,194.68209,0.0
17052,3,0.0,0.0,2.98062,511.0,0.0
17067,3,0.0,0.0,3.03192,398.93833,0.0
17083,3,0.0,0.0,3.02042,511.0,0.0
17104,3,0.0,0.0,2.99836,511.0,0.0
17110,3,0.0,0.0,2.99583,83.7097,0.0
17130,3,0.0,0.0,2.9776,262.14971,0.0
17134,3,0.0,0.0,2.99155,385.17841,0.0
17144,3,0.0,0.0,2.99008,46.28955,0.0
17148,3,0.0,0.0,2.96401,478.57177,0.0
17182,3,0.0,0.0,2.96543,159.45611,0.0
17198,3,0.0,0.0,2.96651,511.0,0.0
17221,3,0.0,0.0,2.95388,345.47918,0.0
