code,event_id,family,primary_particle,ta_deposit_keV
FLUKA,11145,mono511_gamma,gamma,511.0
FLUKA,11147,mono511_gamma,gamma,115.578682
FLUKA,11164,mono511_gamma,gamma,511.0
FLUKA,11176,mono511_gamma,gamma,202.73634
FLUKA,11235,mono511_gamma,gamma,122.446991
FLUKA,11284,mono511_gamma,gamma,188.40055
FLUKA,11286,mono511_gamma,gamma,278.725839
FLUKA,11329,mono511_gamma,gamma,254.781225
FLUKA,11361,mono511_gamma,gamma,299.330087
FLUKA,11382,mono511_gamma,gamma,120.919573
FLUKA,11503,mono511_gamma,gamma,132.909315
FLUKA,11543,mono511_gamma,gamma,256.473408
FLUKA,11566,mono511_gamma,gamma,254.162525
FLUKA,11576,mono511_gamma,gamma,120.365505
FLUKA,11616,mono511_gamma,gamma,257.876545
FLUKA,11713,mono511_gamma,gamma,171.111915
FLUKA,11723,mono511_gamma,gamma,26.0774912
FLUKA,11802,mono511_gamma,gamma,344.939351
FLUKA,11890,mono511_gamma,gamma,75.14128
FLUKA,11950,mono511_gamma,gamma,0.392444806
FLUKA,12029,mono511_gamma,gamma,331.388547
FLUKA,12037,mono511_gamma,gamma,212.077269
FLUKA,12092,mono511_gamma,gamma,74.7880193
FLUKA,12110,mono511_gamma,gamma,408.86998
FLUKA,12198,mono511_gamma,gamma,147.089397
FLUKA,12267,mono511_gamma,gamma,230.875526
FLUKA,12369,mono511_gamma,gamma,30.827422
FLUKA,12407,mono511_gamma,gamma,296.985165
FLUKA,12431,mono511_gamma,gamma,185.116239
FLUKA,12434,mono511_gamma,gamma,511.0
FLUKA,12481,mono511_gamma,gamma,511.0
FLUKA,12521,mono511_gamma,gamma,75.4959063
FLUKA,12542,mono511_gamma,gamma,511.0
FLUKA,12550,mono511_gamma,gamma,268.107384
FLUKA,12598,mono511_gamma,gamma,220.180462
FLUKA,12604,mono511_gamma,gamma,142.105219
FLUKA,12660,mono511_gamma,gamma,120.942928
FLUKA,12770,mono511_gamma,gamma,221.943386
FLUKA,12785,mono511_gamma,gamma,17.8737767
FLUKA,12787,mono511_gamma,gamma,511.0
FLUKA,12820,mono511_gamma,gamma,185.784577
FLUKA,12871,mono511_gamma,gamma,201.200711
FLUKA,12880,mono511_gamma,gamma,227.7045
FLUKA,12890,mono511_gamma,gamma,265.003752
FLUKA,12909,mono511_gamma,gamma,216.536756
FLUKA,12915,mono511_gamma,gamma,249.382261
FLUKA,12925,mono511_gamma,gamma,219.71038
FLUKA,12934,mono511_gamma,gamma,198.735758
FLUKA,12936,mono511_gamma,gamma,287.086247
FLUKA,13101,mono511_gamma,gamma,219.243495
FLUKA,13122,mono511_gamma,gamma,511.0
FLUKA,13143,mono511_gamma,gamma,220.617011
FLUKA,13154,mono511_gamma,gamma,243.816545
FLUKA,13159,mono511_gamma,gamma,148.298043
FLUKA,13163,mono511_gamma,gamma,144.746614
FLUKA,13294,mono511_gamma,gamma,224.50819
FLUKA,13295,mono511_gamma,gamma,48.535274
FLUKA,13325,mono511_gamma,gamma,123.478909
FLUKA,13377,mono511_gamma,gamma,277.940727
FLUKA,13393,mono511_gamma,gamma,217.948603
FLUKA,13436,mono511_gamma,gamma,511.0
FLUKA,13447,mono511_gamma,gamma,511.0
FLUKA,13449,mono511_gamma,gamma,259.548117
FLUKA,13553,mono511_gamma,gamma,260.399442
FLUKA,13560,mono511_gamma,gamma,511.0
FLUKA,13572,mono511_gamma,gamma,145.900635
FLUKA,13582,mono511_gamma,gamma,511.0
FLUKA,13706,mono511_gamma,gamma,511.0
FLUKA,13761,mono511_gamma,gamma,323.78091
FLUKA,13781,mono511_gamma,gamma,215.405469
FLUKA,13821,mono511_gamma,gamma,239.296005
FLUKA,13832,mono511_gamma,gamma,365.700399
FLUKA,13860,mono511_gamma,gamma,6.67146662
FLUKA,13884,mono511_gamma,gamma,186.698374
FLUKA,13892,mono511_gamma,gamma,284.525844
FLUKA,13894,mono511_gamma,gamma,314.161879
FLUKA,13898,mono511_gamma,gamma,151.785015
FLUKA,13929,mono511_gamma,gamma,271.823827
FLUKA,13936,mono511_gamma,gamma,189.471167
FLUKA,13960,mono511_gamma,gamma,292.461554
FLUKA,13962,mono511_gamma,gamma,307.859836
FLUKA,14103,mono511_gamma,gamma,493.186542
FLUKA,14109,mono511_gamma,gamma,214.126966
FLUKA,14112,mono511_gamma,gamma,248.870603
FLUKA,14160,mono511_gamma,gamma,511.0
FLUKA,14170,mono511_gamma,gamma,322.558808
FLUKA,14215,mono511_gamma,gamma,196.282132
FLUKA,14233,mono511_gamma,gamma,221.161356
FLUKA,14283,mono511_gamma,gamma,430.773197
FLUKA,14335,mono511_gamma,gamma,159.481812
FLUKA,14336,mono511_gamma,gamma,288.832034
FLUKA,14386,mono511_gamma,gamma,425.693818
FLUKA,14391,mono511_gamma,gamma,511.0
FLUKA,14506,mono511_gamma,gamma,176.358346
FLUKA,14512,mono511_gamma,gamma,29.8201554
FLUKA,14534,mono511_gamma,gamma,239.894876
FLUKA,14591,mono511_gamma,gamma,200.929916
FLUKA,14596,mono511_gamma,gamma,511.0
FLUKA,14613,mono511_gamma,gamma,511.0
FLUKA,14626,mono511_gamma,gamma,184.645269
FLUKA,14631,mono511_gamma,gamma,89.1444105
FLUKA,14646,mono511_gamma,gamma,119.517817
FLUKA,14649,mono511_gamma,gamma,105.979469
FLUKA,14663,mono511_gamma,gamma,436.464085
FLUKA,14713,mono511_gamma,gamma,295.074172
FLUKA,14734,mono511_gamma,gamma,248.69318
FLUKA,14752,mono511_gamma,gamma,511.0
FLUKA,14772,mono511_gamma,gamma,167.349161
FLUKA,14804,mono511_gamma,gamma,400.105165
FLUKA,14831,mono511_gamma,gamma,335.148283
FLUKA,14896,mono511_gamma,gamma,204.068754
FLUKA,14932,mono511_gamma,gamma,209.98868
FLUKA,15017,mono511_gamma,gamma,511.0
FLUKA,15145,mono511_gamma,gamma,511.0
FLUKA,15196,mono511_gamma,gamma,202.809965
FLUKA,15212,mono511_gamma,gamma,345.828063
FLUKA,15238,mono511_gamma,gamma,313.157664
FLUKA,15256,mono511_gamma,gamma,187.443818
FLUKA,15265,mono511_gamma,gamma,186.270918
FLUKA,15284,mono511_gamma,gamma,27.704633
FLUKA,15293,mono511_gamma,gamma,511.0
FLUKA,15299,mono511_gamma,gamma,296.950398
FLUKA,15324,mono511_gamma,gamma,511.0
FLUKA,15330,mono511_gamma,gamma,108.557077
FLUKA,15374,mono511_gamma,gamma,511.0
FLUKA,15411,mono511_gamma,gamma,289.603225
FLUKA,15443,mono511_gamma,gamma,420.895777
FLUKA,15493,mono511_gamma,gamma,279.634571
FLUKA,15520,mono511_gamma,gamma,375.83989
FLUKA,15524,mono511_gamma,gamma,511.0
FLUKA,15537,mono511_gamma,gamma,369.363083
FLUKA,15557,mono511_gamma,gamma,434.127667
FLUKA,15561,mono511_gamma,gamma,219.228732
FLUKA,15570,mono511_gamma,gamma,233.627014
FLUKA,15625,mono511_gamma,gamma,469.671404
FLUKA,15709,mono511_gamma,gamma,159.433118
FLUKA,15722,mono511_gamma,gamma,511.0
FLUKA,15753,mono511_gamma,gamma,320.319565
FLUKA,15765,mono511_gamma,gamma,416.445206
FLUKA,15777,mono511_gamma,gamma,511.0
FLUKA,15787,mono511_gamma,gamma,335.250749
FLUKA,15790,mono511_gamma,gamma,432.351017
FLUKA,15794,mono511_gamma,gamma,89.600982
FLUKA,15817,mono511_gamma,gamma,360.160212
FLUKA,15896,mono511_gamma,gamma,511.0
FLUKA,15900,mono511_gamma,gamma,175.212231
FLUKA,15951,mono511_gamma,gamma,84.8296551
FLUKA,16022,mono511_gamma,gamma,506.900188
FLUKA,16035,mono511_gamma,gamma,227.24722
FLUKA,16053,mono511_gamma,gamma,29.2785893
FLUKA,16057,mono511_gamma,gamma,243.829459
FLUKA,16087,mono511_gamma,gamma,278.654246
FLUKA,16122,mono511_gamma,gamma,511.0
FLUKA,16171,mono511_gamma,gamma,16.2597902
FLUKA,16228,mono511_gamma,gamma,511.0
FLUKA,16244,mono511_gamma,gamma,511.0
FLUKA,16316,mono511_gamma,gamma,217.024805
FLUKA,16347,mono511_gamma,gamma,355.3848
FLUKA,16352,mono511_gamma,gamma,153.642962
FLUKA,16366,mono511_gamma,gamma,318.173158
FLUKA,16423,mono511_gamma,gamma,225.885009
FLUKA,16430,mono511_gamma,gamma,489.945471
FLUKA,16457,mono511_gamma,gamma,155.013635
FLUKA,16496,mono511_gamma,gamma,511.0
FLUKA,16621,mono511_gamma,gamma,213.428578
FLUKA,16630,mono511_gamma,gamma,39.0116643
FLUKA,16667,mono511_gamma,gamma,363.964992
FLUKA,16670,mono511_gamma,gamma,201.80085
FLUKA,16678,mono511_gamma,gamma,201.045039
FLUKA,16689,mono511_gamma,gamma,511.0
FLUKA,16768,mono511_gamma,gamma,365.312229
FLUKA,16805,mono511_gamma,gamma,453.3142
FLUKA,16910,mono511_gamma,gamma,219.959796
FLUKA,16972,mono511_gamma,gamma,197.268901
FLUKA,17019,mono511_gamma,gamma,293.647561
FLUKA,17067,mono511_gamma,gamma,511.0
FLUKA,17102,mono511_gamma,gamma,453.3142
FLUKA,17148,mono511_gamma,gamma,511.0
FLUKA,17152,mono511_gamma,gamma,54.1036702
FLUKA,17267,mono511_gamma,gamma,511.0
FLUKA,17352,mono511_gamma,gamma,8.27840099
FLUKA,17354,mono511_gamma,gamma,511.0
FLUKA,17377,mono511_gamma,gamma,428.793783
FLUKA,17382,mono511_gamma,gamma,511.0
FLUKA,17414,mono511_gamma,gamma,289.318842
FLUKA,17477,mono511_gamma,gamma,152.403751
FLUKA,17518,mono511_gamma,gamma,307.065037
FLUKA,17616,mono511_gamma,gamma,49.4363571
FLUKA,17622,mono511_gamma,gamma,32.6693019
FLUKA,17644,mono511_gamma,gamma,178.878706
FLUKA,17688,mono511_gamma,gamma,260.950615
FLUKA,17718,mono511_gamma,gamma,511.0
FLUKA,17814,mono511_gamma,gamma,143.962393
FLUKA,17818,mono511_gamma,gamma,219.052858
FLUKA,17827,mono511_gamma,gamma,122.084995
FLUKA,17908,mono511_gamma,gamma,240.612129
FLUKA,17916,mono511_gamma,gamma,511.0
FLUKA,17969,mono511_gamma,gamma,46.354764
