code,primary_id,family,particle,expected_particle_code,observed_particle_code,expected_energy_keV,observed_energy_keV,energy_delta_keV,energy_rel_delta,expected_dir_x,expected_dir_y,expected_dir_z,observed_dir_x,observed_dir_y,observed_dir_z,direction_dot,expected_weight,observed_weight,status
FLUKA,88,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.5628073085102897,0.12781578822693254,-0.8166462255881255,0.5628073086719042,0.12781578792548817,-0.8166462255239256,1.0,1.0,1.0,PASS
FLUKA,89,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.4445357571098607,-0.8085094314360374,-0.3856169860492904,0.444535757186876,-0.8085094313398848,-0.38561698616210743,1.0,1.0,1.0,PASS
FLUKA,90,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.9095107555826599,0.4050991182293062,0.09319275663536097,0.9095107557422556,0.40509911788519976,0.09319275657359029,1.0000000000000002,1.0,1.0,PASS
FLUKA,91,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.05407458826113469,-0.8875514904981289,0.4575240874740243,0.054074588287527134,-0.887551490795277,0.45752408689446733,1.0,1.0,1.0,PASS
FLUKA,92,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.38907866919574147,-0.012206239215167431,-0.9211236599399089,0.38907866900816773,-0.01220623920025624,-0.9211236600193368,1.0,1.0,1.0,PASS
FLUKA,93,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.5021830172067364,0.7021970133752349,-0.5047093932512441,0.5021830172481355,0.7021970133469652,-0.5047093932493838,1.0000000000000002,1.0,1.0,PASS
FLUKA,94,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.1508508902972728,-0.16995039811863588,0.9738382160686843,-0.15085089001989624,-0.16995039802241535,0.9738382161284429,1.0000000000000002,1.0,1.0,PASS
FLUKA,95,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.7401399576369184,0.6714651166408931,0.03643405335194738,0.7401399576213372,0.671465116656472,0.036434053381359986,1.0000000000000002,1.0,1.0,PASS
FLUKA,96,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.39547554528598455,-0.5012101907963246,-0.769667095387782,-0.39547554512239125,-0.5012101911551139,-0.7696670952381957,1.0,1.0,1.0,PASS
FLUKA,97,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.37506329337815897,-0.8934074586440373,-0.24728655199895536,0.3750632929338221,-0.8934074588423631,-0.24728655195636762,1.0,1.0,1.0,PASS
FLUKA,98,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.8564203429876364,-0.3335997018795707,-0.3940246629626132,-0.8564203429439088,-0.3335997019781509,-0.39402466297419336,1.0,1.0,1.0,PASS
FLUKA,99,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.399591560328051,-0.8517648741835503,-0.3388556979330206,0.39959156010578456,-0.8517648742254892,-0.33885569808970584,1.0,1.0,1.0,PASS
FLUKA,100,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.24639533244317138,-0.606332518825491,0.756075536414818,-0.2463953320781119,-0.6063325191922186,0.75607553623969,1.0,1.0,1.0,PASS
FLUKA,101,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.9932418338499631,0.033147277402610864,-0.11122912159662457,-0.9932418338075063,0.033147277393575945,-0.11122912197844341,1.0,1.0,1.0,PASS
FLUKA,102,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.2739759069813616,0.32480849535413053,-0.9052273989111941,-0.27397590700809016,0.32480849500959114,-0.9052273990267301,1.0000000000000002,1.0,1.0,PASS
FLUKA,103,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.23693296673676675,-0.9638165798033184,-0.12214896548701516,0.23693296695440333,-0.963816579814518,-0.122148964976493,1.0,1.0,1.0,PASS
FLUKA,104,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.29657056393429326,0.2328726657303273,-0.9261836870531388,-0.29657056399019244,0.23287266599229897,-0.9261836869693713,1.0,1.0,1.0,PASS
FLUKA,105,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.687234733460748,-0.6229837177710703,0.3736304437773644,0.6872347330624278,-0.6229837180565911,0.37363044403394025,1.0,1.0,1.0,PASS
FLUKA,106,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.4548249996909339,0.2826979897467507,0.844521205328373,-0.4548250000296336,0.2826979900184189,0.8445212050550239,1.0,1.0,1.0,PASS
FLUKA,107,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.45666916502644267,-0.03905255723275974,-0.8887790341179487,0.4566691650539715,-0.03905255720461543,-0.8887790341050404,1.0,1.0,1.0,PASS
FLUKA,108,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.005503393474605587,0.0410779996498906,-0.9991407861783179,-0.005503393470991929,0.041077999607403874,-0.9991407861800846,1.0,1.0,1.0,PASS
FLUKA,109,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.23984725925241598,-0.002456484331725852,0.9708075287686186,-0.23984725896064557,-0.002456484329596937,0.9708075288407088,1.0,1.0,1.0,PASS
FLUKA,110,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.6071725225120777,0.06976516702680483,0.7915013261998003,-0.6071725229172783,0.06976516699049515,0.7915013258921653,1.0000000000000002,1.0,1.0,PASS
