code,stream,source_tag,band,band_label,stage,stage_label,events,rate_s-1,mc_sigma_s-1,side_compton_class_counts
FLUKA,delayed,Cu-64,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,23,0.015611944041748033,0.0032553153641569294,"{""single"": 23, ""veto"": 2}"
FLUKA,delayed,Cu-64,e100_300,100-300 keV,active_veto_pass,active-veto,4,0.0027151207029127013,0.0013575603514563506,{}
FLUKA,delayed,Cu-64,e100_300,100-300 keV,raw,raw,5,0.0033939008786408767,0.0015177986147074528,{}
FLUKA,delayed,Cu-64,e100_300,100-300 keV,side_compton_fov_pass,final,4,0.0027151207029127013,0.0013575603514563506,"{""single"": 4}"
FLUKA,delayed,Cu-64,e300_480,300-480 keV,active_veto_pass,active-veto,1,0.0006787801757281753,0.0006787801757281753,{}
FLUKA,delayed,Cu-64,e300_480,300-480 keV,raw,raw,2,0.0013575603514563506,0.0009599401303847782,{}
FLUKA,delayed,Cu-64,e300_480,300-480 keV,side_compton_fov_pass,final,0,0.0,0.0,"{""veto"": 1}"
FLUKA,delayed,Cu-64,e480_550,480-550 keV,active_veto_pass,active-veto,11,0.007466581933009929,0.0022512591580218606,{}
FLUKA,delayed,Cu-64,e480_550,480-550 keV,raw,raw,16,0.010860482811650805,0.0027151207029127004,{}
FLUKA,delayed,Cu-64,e480_550,480-550 keV,side_compton_fov_pass,final,10,0.006787801757281753,0.0021464913858703755,"{""single"": 10, ""veto"": 1}"
FLUKA,delayed,Cu-64,e550_800,550-800 keV,raw,raw,1,0.0006787801757281753,0.0006787801757281753,{}
FLUKA,delayed,Cu-64,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto_pass,active-veto,11,0.007466581933009929,0.0022512591580218606,{}
FLUKA,delayed,Cu-64,w2_510p58_511p42,W2 510.58-511.42 keV,raw,raw,16,0.010860482811650805,0.0027151207029127004,{}
FLUKA,delayed,Cu-64,w2_510p58_511p42,W2 510.58-511.42 keV,side_compton_fov_pass,final,10,0.006787801757281753,0.0021464913858703755,"{""single"": 10, ""veto"": 1}"
FLUKA,delayed,Cu-66,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,7,0.004751461244027582,0.0017958835451226526,{}
FLUKA,delayed,Cu-66,all_tes_gt0,all TES > 0,raw,raw,7,0.004751461244027582,0.0017958835451226526,{}
FLUKA,delayed,Cu-66,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,4,0.0027151207108729045,0.0013575603554364522,"{""keep"": 2, ""single"": 2, ""veto"": 3}"
FLUKA,delayed,Cu-66,e100_300,100-300 keV,active_veto_pass,active-veto,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Cu-66,e100_300,100-300 keV,raw,raw,2,0.0013575603554364522,0.0009599401331991352,{}
FLUKA,delayed,Cu-66,e100_300,100-300 keV,side_compton_fov_pass,final,2,0.0013575603554364522,0.0009599401331991352,"{""single"": 2}"
FLUKA,delayed,Cu-66,e1500_3000,1500-3000 keV,active_veto_pass,active-veto,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Cu-66,e1500_3000,1500-3000 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Cu-66,e1500_3000,1500-3000 keV,side_compton_fov_pass,final,0,0.0,0.0,"{""veto"": 1}"
FLUKA,delayed,Cu-66,e800_1500,800-1500 keV,active_veto_pass,active-veto,4,0.0027151207108729045,0.0013575603554364522,{}
FLUKA,delayed,Cu-66,e800_1500,800-1500 keV,raw,raw,4,0.0027151207108729045,0.0013575603554364522,{}
FLUKA,delayed,Cu-66,e800_1500,800-1500 keV,side_compton_fov_pass,final,2,0.0013575603554364522,0.0009599401331991352,"{""keep"": 2, ""veto"": 2}"
FLUKA,delayed,Fe-53,all_tes_gt0,all TES > 0,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Fe-53,e480_550,480-550 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Fe-53,w2_510p58_511p42,W2 510.58-511.42 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Fe-60,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,1,7.374869695943743e-12,7.374869695943743e-12,{}
FLUKA,delayed,Fe-60,all_tes_gt0,all TES > 0,raw,raw,1,7.374869695943743e-12,7.374869695943743e-12,{}
FLUKA,delayed,Fe-60,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,1,7.374869695943743e-12,7.374869695943743e-12,"{""single"": 1}"
FLUKA,delayed,Fe-60,e100_300,100-300 keV,active_veto_pass,active-veto,1,7.374869695943743e-12,7.374869695943743e-12,{}
FLUKA,delayed,Fe-60,e100_300,100-300 keV,raw,raw,1,7.374869695943743e-12,7.374869695943743e-12,{}
FLUKA,delayed,Fe-60,e100_300,100-300 keV,side_compton_fov_pass,final,1,7.374869695943743e-12,7.374869695943743e-12,"{""single"": 1}"
FLUKA,delayed,Hf-170,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,1,0.0006787800621642647,0.0006787800621642647,{}
FLUKA,delayed,Hf-170,all_tes_gt0,all TES > 0,raw,raw,1,0.0006787800621642647,0.0006787800621642647,{}
FLUKA,delayed,Hf-170,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,1,0.0006787800621642647,0.0006787800621642647,"{""reject_kept"": 1}"
FLUKA,delayed,Hf-172,all_tes_gt0,all TES > 0,raw,raw,1,1.025445816856931e-05,1.025445816856931e-05,{}
FLUKA,delayed,Hf-172,e100_300,100-300 keV,raw,raw,1,1.025445816856931e-05,1.025445816856931e-05,{}
FLUKA,delayed,I-119,all_tes_gt0,all TES > 0,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,I-119,e480_550,480-550 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,I-128,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,11,0.007466581954900486,0.002251259164622113,{}
