code,stream,source_tag,band,band_label,stage,stage_label,deposit_carrier,dominant_events,dominant_rate_s-1,dominant_sigma_s-1,fractional_rate_s-1,energy_rate_keV_s-1,raw_deposit_keV_sum
FLUKA,delayed,Al-28,e480_550,480-550 keV,raw,raw,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006419624206978206,0.34410010446426936,506.938941
FLUKA,delayed,Al-28,e550_800,550-800 keV,raw,raw,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.3744474383175483,551.647574
FLUKA,delayed,Al-28,e800_1500,800-1500 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0013575603554364522,1.7725527361289573,2611.37964
FLUKA,delayed,Al-28,e800_1500,800-1500 keV,raw,raw,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0013575603554364522,1.7725527361289573,2611.37964
FLUKA,delayed,Al-28,e800_1500,800-1500 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0013575603554364522,1.7725527361289573,2611.37964
FLUKA,delayed,Co-56,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,1,8.546182038617397e-05,8.546182038617397e-05,8.546182038617397e-05,0.0723665910247591,846.7709990000001
FLUKA,delayed,Co-56,e800_1500,800-1500 keV,raw,raw,EM_BELOW_THRESHOLD,1,8.546182038617397e-05,8.546182038617397e-05,8.546182038617397e-05,0.0723665910247591,846.7709990000001
FLUKA,delayed,Co-58,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,2,0.0001853077232820125,0.0001310323477389513,0.00018458160731340623,0.15023996307029558,1621.5186330000001
FLUKA,delayed,Co-58,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,PHOTON,0,0.0,0.0,7.261159686062515e-07,0.0005933553327286199,6.40400003
FLUKA,delayed,Co-58,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,3,0.00027796158492301873,0.00016048119587967988,0.0002772354689544125,0.16698658541173642,1802.2625550000002
FLUKA,delayed,Co-58,all_tes_gt0,all TES > 0,raw,raw,PHOTON,0,0.0,0.0,7.261159686062515e-07,0.0005933553327286199,6.40400003
FLUKA,delayed,Co-58,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,1,9.265386164100625e-05,9.265386164100625e-05,9.265386164100625e-05,0.07511998158147473,810.759317
FLUKA,delayed,Co-58,e100_300,100-300 keV,raw,raw,EM_BELOW_THRESHOLD,1,9.265386164100625e-05,9.265386164100625e-05,9.265386164100625e-05,0.016746622341440826,180.743922
FLUKA,delayed,Co-58,e800_1500,800-1500 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,2,0.0001853077232820125,0.0001310323477389513,0.00018458160731340623,0.15023996307029558,1621.5186330000001
FLUKA,delayed,Co-58,e800_1500,800-1500 keV,active_veto_pass,active-veto,PHOTON,0,0.0,0.0,7.261159686062515e-07,0.0005933553327286199,6.40400003
FLUKA,delayed,Co-58,e800_1500,800-1500 keV,raw,raw,EM_BELOW_THRESHOLD,2,0.0001853077232820125,0.0001310323477389513,0.00018458160731340623,0.15023996307029558,1621.5186330000001
FLUKA,delayed,Co-58,e800_1500,800-1500 keV,raw,raw,PHOTON,0,0.0,0.0,7.261159686062515e-07,0.0005933553327286199,6.40400003
FLUKA,delayed,Co-58,e800_1500,800-1500 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,1,9.265386164100625e-05,9.265386164100625e-05,9.265386164100625e-05,0.07511998158147473,810.759317
FLUKA,delayed,Co-60,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,1,3.6555909104610392e-06,3.6555909104610392e-06,3.6555909104610392e-06,0.004288841722366111,1173.22803
FLUKA,delayed,Co-60,e800_1500,800-1500 keV,raw,raw,EM_BELOW_THRESHOLD,1,3.6555909104610392e-06,3.6555909104610392e-06,3.6555909104610392e-06,0.004288841722366111,1173.22803
FLUKA,delayed,Cs-130,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0013575603554364522,1.641423905687567,2418.196582
FLUKA,delayed,Cs-130,e1500_3000,1500-3000 keV,raw,raw,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,1.355727622484186,1997.299961
FLUKA,delayed,Cs-130,e300_480,300-480 keV,raw,raw,EM_BELOW_THRESHOLD,1,0.0006787801777182261,0.0006787801777182261,0.0006787801777182261,0.28569628320338086,420.896621
FLUKA,delayed,Cs-132,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,3,0.0016270594121938259,0.0009393831896176196,0.0016270594121938259,0.6350367192540677,1170.891575
FLUKA,delayed,Cs-132,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,3,0.0016270594121938259,0.0009393831896176196,0.0016270594121938259,0.6350367192540677,1170.891575
FLUKA,delayed,Cs-132,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,3,0.0016270594121938259,0.0009393831896176196,0.0016270594121938259,0.6350367192540677,1170.891575
FLUKA,delayed,Cs-132,e100_300,100-300 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,1,0.000542353137397942,0.000542353137397942,0.000542353137397942,0.0964529665328171,177.841631
FLUKA,delayed,Cs-132,e100_300,100-300 keV,raw,raw,EM_BELOW_THRESHOLD,1,0.000542353137397942,0.000542353137397942,0.000542353137397942,0.0964529665328171,177.841631
FLUKA,delayed,Cs-132,e100_300,100-300 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,1,0.000542353137397942,0.000542353137397942,0.000542353137397942,0.0964529665328171,177.841631
FLUKA,delayed,Cs-132,e300_480,300-480 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,1,0.000542353137397942,0.000542353137397942,0.000542353137397942,0.17644697536025253,325.335954
FLUKA,delayed,Cs-132,e300_480,300-480 keV,raw,raw,EM_BELOW_THRESHOLD,1,0.000542353137397942,0.000542353137397942,0.000542353137397942,0.17644697536025253,325.335954
FLUKA,delayed,Cs-132,e300_480,300-480 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,1,0.000542353137397942,0.000542353137397942,0.000542353137397942,0.17644697536025253,325.335954
FLUKA,delayed,Cs-132,e550_800,550-800 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,1,0.000542353137397942,0.000542353137397942,0.000542353137397942,0.36213677736099803,667.71399
FLUKA,delayed,Cs-132,e550_800,550-800 keV,raw,raw,EM_BELOW_THRESHOLD,1,0.000542353137397942,0.000542353137397942,0.000542353137397942,0.36213677736099803,667.71399
FLUKA,delayed,Cs-132,e550_800,550-800 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,1,0.000542353137397942,0.000542353137397942,0.000542353137397942,0.36213677736099803,667.71399
FLUKA,delayed,Cs-134,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,ELECTRON,3,2.7878340080515818e-05,1.609556715004574e-05,2.7453881408444572e-05,0.009283065902872568,998.954659
FLUKA,delayed,Cs-134,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,108,0.0010036202428985713,9.657340290027446e-05,0.0010040447015706425,0.44565865222469403,47957.51658142999
FLUKA,delayed,Cs-134,all_tes_gt0,all TES > 0,raw,raw,ELECTRON,9,8.363502024154745e-05,2.7878340080515818e-05,8.774367083154747e-05,0.030027937136546598,3231.3190509000005
FLUKA,delayed,Cs-134,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,547,0.0050831506746806575,0.00021733982852455838,0.005079042024090658,2.0485228788076757,220442.41582080972
FLUKA,delayed,Cs-134,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,ELECTRON,2,1.858556005367721e-05,1.3141975546104969e-05,2.215986521359946e-05,0.008031938245926887,864.3202812
FLUKA,delayed,Cs-134,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,103,0.0009571563427643782,9.431141683063977e-05,0.000953582037604456,0.42797994195524885,46055.10307133001
