dimension,key,metric,metric_label,stage,source_histories,source_fraction,fluka_sum_w,megalib_sum_w,fluka_contribution_per_parent,megalib_contribution_per_parent,contribution_difference_per_parent,difference_share_of_total,z_contribution_difference,fluka_conditional_efficiency,megalib_conditional_efficiency,fluka_over_megalib_conditional
source_volume,Cu_SubstrateSupport_OpenRing_L3_ZM_panel,w2_expected,W2 analytic Gaussian expectation,raw,139,0.000139,0.0,5.983796568628853,0.0,5.983796568628853e-06,-5.983796568628853e-06,-0.022943640302502993,-2.4494897427831743,0.0,0.04304889617718599,0.0
source_volume,Cu_SubstrateSupport_OpenRing_L5_ZP_panel,w2_expected,W2 analytic Gaussian expectation,raw,305,0.000305,2.9932787698309964,8.97569468756493,2.9932787698309962e-06,8.97569468756493e-06,-5.982415917733934e-06,-0.022938346479901735,-1.7316509779319085,0.00981402875354425,0.029428507172344034,0.33348714211256897
source_volume,DR_Capillary_CuNi_MXC_CP,w2_expected,W2 analytic Gaussian expectation,raw,1835,0.001835,4.98649802269172,0.9972993979716356,4.9864980226917196e-06,9.972993979716355e-07,3.989198624720084e-06,0.015295763699699098,1.6329933027868648,0.0027174376145458964,0.0005434874103387659,5.000001035630368
source_volume,Cu_SubstrateSupport_OpenRing_L4_ZP_panel,w2_expected,W2 analytic Gaussian expectation,raw,139,0.000139,0.997299604538344,4.98649713534699,9.97299604538344e-07,4.9864971353469895e-06,-3.989197530808645e-06,-0.015295759505320115,-1.632993040776145,0.007174817298837007,0.035874080110409996,0.20000003558990234
source_volume,Cu_SubstrateSupport_OpenRing_L1_ZP_panel,w2_expected,W2 analytic Gaussian expectation,raw,137,0.000137,0.997299604538344,4.986496974387336,9.97299604538344e-07,4.986496974387336e-06,-3.989197369848992e-06,-0.015295758888153346,-1.6329930188129922,0.007279559157214189,0.03639778813421413,0.20000004204572425
source_volume,ColdPlate_4K,w2_expected,W2 analytic Gaussian expectation,raw,391829,0.391829,13.962194463536818,10.97029354661589,1.3962194463536819e-05,1.097029354661589e-05,2.9919009169209286e-06,0.011471830245441022,0.6000004724162684,3.563338717536685e-05,2.7997655984156073e-05,1.2727275167439678
source_volume,DR_Capillary_CuNi_CP_Still,w2_expected,W2 analytic Gaussian expectation,raw,2992,0.002992,3.989198418153376,0.9972993377308876,3.989198418153376e-06,9.972993377308876e-07,2.9918990804224888e-06,0.011471823203764532,1.341640977928685,0.0013332882413614223,0.00033332197116674053,4.000001070119858
source_volume,Cu_ColdFinger_Stem_YP_ZM_to_MXC,w2_expected,W2 analytic Gaussian expectation,raw,419,0.000419,3.989198418153376,0.9972993529946164,3.989198418153376e-06,9.972993529946163e-07,2.99189906515876e-06,0.011471823145238895,1.3416409669772764,0.009520759947860086,0.002380189386621996,4.000001008899592
source_volume,Cu_SubstrateSupport_OpenRing_L3_YM_panel,w2_expected,W2 analytic Gaussian expectation,raw,153,0.000153,1.994599209076688,4.986497004553785,1.994599209076688e-06,4.986497004553785e-06,-2.991897795477097e-06,-0.011471818276905047,-1.133893198535101,0.01303659613775613,0.03259148368989402,0.400000081671597
source_volume,Cu_SubstrateSupport_OpenRing_L1_YP_panel,w2_expected,W2 analytic Gaussian expectation,raw,430,0.00043,2.991898813615032,5.983796049324222,2.9918988136150322e-06,5.983796049324222e-06,-2.9918972357091897e-06,-0.011471816130589849,-0.9999996484047404,0.0069579042177093774,0.013915804765870284,0.5000001318482306
