history_id,parent_resampled_history_id,selected_position_row_index,common_event_id,source_event_id,source_name,production_tag,source_volume,resolved_static_material,nuclide,isotope_Z,isotope_A,za,exc_keV,x_cm,y_cm,z_cm,time_s,history_weight,event_weight_Bq,sampling_probability,selection_u64,A,Z,event_id,isomer,original_activity_weight_Bq,resampled_history_id
313,313,3321,3321,9219,phase3_cu64_common_parent_000000313,n,ColdPlate_CP_100mK_intercept,Copper,Cu-64,29,64,29064,0,4.562057,-4.278002,2.210725,0.0,1.0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,8843264583583068348,64,29,3321,0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,313
314,314,273,273,4970,phase3_cu64_common_parent_000000314,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,13.06844,3.351161,15.21959,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,726026278278952067,64,29,273,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,314
315,315,2001,2001,6698,phase3_cu64_common_parent_000000315,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,17.33942,-6.331004,10.97226,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,5328621872938270311,64,29,2001,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,315
316,316,6731,6731,236653,phase3_cu64_common_parent_000000316,n,DR_Still_Pot_Cu,Copper,Cu-64,29,64,29064,0,6.795232,2.406875,7.140841,0.0,1.0,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,17924487104302115920,64,29,6731,0,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,316
317,317,4621,4621,10960,phase3_cu64_common_parent_000000317,n,ColdPlate_Still_0p7K,Copper,Cu-64,29,64,29064,0,12.54594,1.993159,3.181575,0.0,1.0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,12304122585884714962,64,29,4621,0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,317
318,318,4645,4645,10984,phase3_cu64_common_parent_000000318,n,ColdPlate_Still_0p7K,Copper,Cu-64,29,64,29064,0,7.25433,6.537417,7.95898,0.0,1.0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,12367164690054058533,64,29,4645,0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,318
319,319,322,322,5019,phase3_cu64_common_parent_000000319,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,10.31439,-0.07755472,17.61961,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,857133643100499799,64,29,322,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,319
320,320,5565,5565,233918,phase3_cu64_common_parent_000000320,n,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,Cu-64,29,64,29064,0,3.392237,0.8516592,-7.21523,0.0,1.0,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,0.00014436280272258657460993552082273020323968937347194901055842211038800052838626042,14819612925533979194,64,29,5565,0,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,320
321,321,6872,6872,236794,phase3_cu64_common_parent_000000321,n,DR_Still_Pot_Cu,Copper,Cu-64,29,64,29064,0,6.580783,-0.4982173,8.316177,0.0,1.0,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,18297678893381568270,64,29,6872,0,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,321
322,322,5843,5843,234299,phase3_cu64_common_parent_000000322,n,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,Copper,Cu-64,29,64,29064,0,-6.715467,-5.297635,0.8971268,0.0,1.0,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,0.00014436280272258657460993552076995607002844013492766224301499652082727020072145240,15559344441785840932,64,29,5843,0,0.00067878017572817528276285253271889400921658986175115207373271889400921658986175115,322
323,323,5518,5518,233871,phase3_cu64_common_parent_000000323,n,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,Cu-64,29,64,29064,0,-7.327983,-0.3375779,3.479939,0.0,1.0,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,0.00014436280272258657460993552082273020323968937347194901055842211038800052838626042,14692995453641870014,64,29,5518,0,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,323
324,324,6840,6840,236762,phase3_cu64_common_parent_000000324,n,DR_Still_Pot_Cu,Copper,Cu-64,29,64,29064,0,7.802735,1.956796,5.541281,0.0,1.0,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,0.00014436280272258657460993552082866203112057670630325027884647937389917761380181172,18212820590895311430,64,29,6840,0,0.00067878017572817528276285253299492385786802030456852791878172588832487309644670051,324
325,325,4567,4567,10906,phase3_cu64_common_parent_000000325,n,ColdPlate_Still_0p7K,Copper,Cu-64,29,64,29064,0,2.864739,-5.419931,12.35553,0.0,1.0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,12159750724851436781,64,29,4567,0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,325
326,326,5619,5619,233972,phase3_cu64_common_parent_000000326,n,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,Cu-64,29,64,29064,0,2.804432,5.741423,-4.332933,0.0,1.0,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,0.00014436280272258657460993552082273020323968937347194901055842211038800052838626042,14962404315158035639,64,29,5619,0,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,326
327,327,522,522,5219,phase3_cu64_common_parent_000000327,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,18.67762,4.045824,9.592448,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,1389623560602714446,64,29,522,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,327
328,328,338,338,5035,phase3_cu64_common_parent_000000328,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,16.7321,8.063848,11.15832,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,897994886513847725,64,29,338,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,328
329,329,827,827,5524,phase3_cu64_common_parent_000000329,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,10.88251,-8.507066,17.09777,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,2201468431680621244,64,29,827,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,329
330,330,4022,4022,10361,phase3_cu64_common_parent_000000330,n,ColdPlate_Still_0p7K,Copper,Cu-64,29,64,29064,0,7.636303,-7.252839,7.946316,0.0,1.0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,10710596886658828201,64,29,4022,0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,330
331,331,6116,6116,234650,phase3_cu64_common_parent_000000331,n,DR_4K_Condenser_Cu,Copper,Cu-64,29,64,29064,0,13.0636,1.343631,13.19269,0.0,1.0,0.00067878017572817528276285253303278688524590163934426229508196721311475409836065574,0.00014436280272258657460993552083671473057658129698784139404211907867558047352741505,16286737138124111880,64,29,6116,0,0.00067878017572817528276285253303278688524590163934426229508196721311475409836065574,331
332,332,15,15,4712,phase3_cu64_common_parent_000000332,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,12.03105,3.537678,16.53986,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,39116601228623483,64,29,15,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,332
333,333,1838,1838,6535,phase3_cu64_common_parent_000000333,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,8.861918,-3.912884,19.38506,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,4892341821272391957,64,29,1838,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,333
334,334,1022,1022,5719,phase3_cu64_common_parent_000000334,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,17.12567,8.476446,11.51234,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,2720036876393795056,64,29,1022,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,334
335,335,5496,5496,233849,phase3_cu64_common_parent_000000335,n,Cu_50mK_StillLike_Can_side_wall_above_side_port,Copper,Cu-64,29,64,29064,0,3.258363,5.578507,-3.947038,0.0,1.0,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,0.00014436280272258657460993552082273020323968937347194901055842211038800052838626042,14635958928728454480,64,29,5496,0,0.00067878017572817528276285253296703296703296703296703296703296703296703296703296703,335
336,336,5411,5411,233719,phase3_cu64_common_parent_000000336,n,Cu_50mK_StillLike_Can_bottom_cap_2mm,Copper,Cu-64,29,64,29064,0,-7.128852,-6.978908,-6.802434,0.0,1.0,0.00067878017572817528276285253315508021390374331550802139037433155080213903743315508,0.00014436280272258657460993552086272404597884846028320376487704562822164795775485443,14409141165477492179,64,29,5411,0,0.00067878017572817528276285253315508021390374331550802139037433155080213903743315508,336
337,337,57,57,4754,phase3_cu64_common_parent_000000337,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,7.589593,2.966404,20.31058,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,149375558303279182,64,29,57,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,337
338,338,1696,1696,6393,phase3_cu64_common_parent_000000338,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,9.413058,5.255168,19.2685,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,4515801901143879377,64,29,1696,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,338
339,339,4195,4195,10534,phase3_cu64_common_parent_000000339,n,ColdPlate_Still_0p7K,Copper,Cu-64,29,64,29064,0,7.25533,1.374315,8.018721,0.0,1.0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,11170726951312348853,64,29,4195,0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,339
340,340,3318,3318,9216,phase3_cu64_common_parent_000000340,n,ColdPlate_CP_100mK_intercept,Copper,Cu-64,29,64,29064,0,4.876622,-6.652438,2.340075,0.0,1.0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,8833714767402384232,64,29,3318,0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,340
341,341,6398,6398,235121,phase3_cu64_common_parent_000000341,n,DR_Capillary_CuNi_Still_4K,CuNi,Cu-64,29,64,29064,0,11.79277,7.948547,5.10051,0.0,1.0,0.00067878017572817528276285253293103448275862068965517241379310344827586206896551724,0.00014436280272258657460993552081507405435756479182106602876456061475960886262405059,17036774118682271099,64,29,6398,0,0.00067878017572817528276285253293103448275862068965517241379310344827586206896551724,341
342,342,99,99,4796,phase3_cu64_common_parent_000000342,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,19.63398,-5.821986,8.962353,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,262486274792498591,64,29,99,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,342
343,343,2421,2421,7118,phase3_cu64_common_parent_000000343,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,16.40709,2.747767,12.00272,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,6446665601290636813,64,29,2421,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,343
